time,open,high,low,close,volume
2025-10-08 23:29:00,228.63,228.71,228.63,228.71,53.65697763
2025-10-08 23:30:00,228.71,228.71,228.71,228.71,0.1494
2025-10-08 23:31:00,228.71,228.86,228.71,228.84,81.11102671
2025-10-08 23:32:00,228.85,228.85,228.84,228.84,4.97385432
2025-10-08 23:33:00,228.84,229.03,228.84,229.03,2.74857762
2025-10-08 23:34:00,229.1,229.12,229.1,229.12,64.90578117
2025-10-08 23:35:00,229.11,229.12,229.11,229.11,163.30397959
2025-10-08 23:36:00,229.12,229.2,229.12,229.2,380.5946967
2025-10-08 23:37:00,229.19,229.2,229.19,229.2,44.42309677
2025-10-08 23:38:00,229.19,229.2,229.17,229.18,6.64921339
2025-10-08 23:39:00,229.12,229.2,229.12,229.2,11.93599163
2025-10-08 23:40:00,229.19,229.2,229.18,229.2,15.24242619
2025-10-08 23:41:00,229.2,229.2,229.19,229.2,0.64709729
2025-10-08 23:42:00,229.2,229.2,228.9,228.9,94.06215157
2025-10-08 23:43:00,228.89,228.89,228.8,228.8,2.81842
2025-10-08 23:44:00,228.9,228.96,228.9,228.95,5.00987095
2025-10-08 23:45:00,228.91,228.91,228.89,228.89,0.32905717
2025-10-08 23:46:00,228.88,228.89,228.86,228.88,9.90527231
2025-10-08 23:47:00,228.87,229.13,228.87,229.12,7.92043607
2025-10-08 23:48:00,229.13,229.17,229.13,229.17,1.40157956
2025-10-08 23:49:00,229.15,229.15,229.12,229.15,2.03952
2025-10-08 23:50:00,229.16,229.16,229.08,229.08,1.34100698
2025-10-08 23:51:00,229.09,229.09,229.04,229.04,1.61765725
2025-10-08 23:52:00,229.05,229.05,228.87,228.9,4.47862124
2025-10-08 23:53:00,228.9,228.9,228.89,228.9,0.78032976
2025-10-08 23:54:00,228.9,228.9,228.89,228.9,36.09663679
2025-10-08 23:55:00,229.0,229.0,229.0,229.0,1.26391621
2025-10-08 23:56:00,229.0,229.0,229.0,229.0,9.18375064
2025-10-08 23:57:00,229.0,229.0,229.0,229.0,2.64850059
2025-10-08 23:58:00,229.0,229.1,229.0,229.04,61.14299552
2025-10-08 23:59:00,229.04,229.04,229.03,229.04,3.61258774
2025-10-09 00:00:00,229.07,229.22,229.07,229.21,226.42236039
2025-10-09 00:01:00,229.14,229.16,229.14,229.15,118.26392922
2025-10-09 00:02:00,229.15,229.15,229.15,229.15,121.48006125
2025-10-09 00:03:00,228.98,229.01,228.85,228.85,4.03409873
2025-10-09 00:04:00,228.83,228.83,228.65,228.65,8.16355219
2025-10-09 00:05:00,228.7,228.7,228.44,228.45,19.18081009
2025-10-09 00:06:00,228.44,228.45,228.25,228.25,2.54273732
2025-10-09 00:07:00,228.22,228.22,228.19,228.19,0.48117751
2025-10-09 00:08:00,228.13,228.21,228.09,228.2,113.68726817
2025-10-09 00:09:00,228.15,228.19,228.1,228.19,93.94410296
2025-10-09 00:10:00,228.19,228.19,228.14,228.15,6.27910207
2025-10-09 00:11:00,228.15,228.16,228.07,228.16,58.19879
2025-10-09 00:12:00,228.16,228.22,228.14,228.21,316.151668
